variant,seed,class,AP50
baseline,0,bolt_no,0.9251052631578949
baseline,0,gap_def,0.7874261222585023
baseline,0,gap_izo,0.9616666666666666
baseline,0,gap_slip,0.7171428571428571
baseline,0,shpala_razlom,0.38853222746246
baseline,0,shpala_treshina,0.29823529411764704
baseline,0,skrep_bolt_no,0.9586363636363636
baseline,0,skrep_no,0.6166571428571428
baseline,1,bolt_no,0.9269455054749172
baseline,1,gap_def,0.8015333333333332
baseline,1,gap_izo,0.995
baseline,1,gap_slip,0.741
baseline,1,shpala_razlom,0.30868547799777935
baseline,1,shpala_treshina,0.35916666666666663
baseline,1,skrep_bolt_no,0.9342792792792791
baseline,1,skrep_no,0.875
baseline,2,bolt_no,0.9668261170166798
baseline,2,gap_def,0.8050309550099023
baseline,2,gap_izo,0.995
baseline,2,gap_slip,0.69
baseline,2,shpala_razlom,0.28201533203157175
baseline,2,shpala_treshina,0.3741193440631643
baseline,2,skrep_bolt_no,0.9416666666666665
baseline,2,skrep_no,0.6467694746376813
mask_guided,0,bolt_no,0.9493650793650793
mask_guided,0,gap_def,0.8466996494334221
mask_guided,0,gap_izo,0.995
mask_guided,0,gap_slip,0.8156666666666668
mask_guided,0,shpala_razlom,0.5103300033300033
mask_guided,0,shpala_treshina,0.5233333333333333
mask_guided,0,skrep_bolt_no,0.9683333333333335
mask_guided,0,skrep_no,0.5560222222222222
mask_guided,1,bolt_no,0.9904545454545456
mask_guided,1,gap_def,0.7096338898376278
mask_guided,1,gap_izo,0.995
mask_guided,1,gap_slip,0.6021794871794871
mask_guided,1,shpala_razlom,0.5626923639020827
mask_guided,1,shpala_treshina,0.19447628458498023
mask_guided,1,skrep_bolt_no,0.915
mask_guided,1,skrep_no,0.471
mask_guided,2,bolt_no,0.9261004784688995
mask_guided,2,gap_def,0.6980535098245714
mask_guided,2,gap_izo,0.8950000000000001
mask_guided,2,gap_slip,0.6448451910408433
mask_guided,2,shpala_razlom,0.46663044113350866
mask_guided,2,shpala_treshina,0.3472778077199466
mask_guided,2,skrep_bolt_no,0.8271879815100153
mask_guided,2,skrep_no,0.7092857142857143
baseline,3,bolt_no,0.94883544546851
baseline,3,gap_def,0.8167715041513847
baseline,3,gap_izo,0.8950000000000001
baseline,3,gap_slip,0.6697619047619047
baseline,3,shpala_razlom,0.3608566813264303
baseline,3,shpala_treshina,0.6237208931419459
baseline,3,skrep_bolt_no,0.9714705882352942
baseline,3,skrep_no,0.5720909090909091
baseline,4,bolt_no,0.923898332788493
baseline,4,gap_def,0.7873485214129042
baseline,4,gap_izo,0.995
baseline,4,gap_slip,0.5824999999999998
baseline,4,shpala_razlom,0.3916277610289815
baseline,4,shpala_treshina,0.2694871210740538
baseline,4,skrep_bolt_no,0.9481034482758621
baseline,4,skrep_no,0.5238589743589743
mask_guided,3,bolt_no,0.9561744742405697
mask_guided,3,gap_def,0.5961836088915093
mask_guided,3,gap_izo,0.9283333333333333
mask_guided,3,gap_slip,0.8332499999999999
mask_guided,3,shpala_razlom,0.4397581046404576
mask_guided,3,shpala_treshina,0.16419413919413917
mask_guided,3,skrep_bolt_no,0.9835714285714285
mask_guided,3,skrep_no,0.64825
mask_guided,4,bolt_no,0.8904512898625876
mask_guided,4,gap_def,0.730695763710514
mask_guided,4,gap_izo,0.995
mask_guided,4,gap_slip,0.7310539215686275
mask_guided,4,shpala_razlom,0.5111332975736247
mask_guided,4,shpala_treshina,0.5148809523809523
mask_guided,4,skrep_bolt_no,0.8157070707070707
mask_guided,4,skrep_no,0.5908930652680653
