model,variant,metric,n,mean_paired_difference,ci95_low,ci95_high,paired_t_p,wilcoxon_p
yolov8n.pt,cutmix,precision,3,0.03130991302146687,-1.1108686329162898e-05,0.0626309347292629,0.05003286726465446,0.25
yolov8n.pt,cutmix,recall,3,0.013485306147141754,-0.010316171213006512,0.03728678350729002,0.13501585313119133,0.25
yolov8n.pt,cutmix,mAP50,3,0.0008591405573187272,-0.06506137607303634,0.0667796571876738,0.9603791518412701,1.0
yolov8n.pt,cutmix,mAP50_95,3,-0.00643010694954621,-0.025513265768577716,0.012653051869485295,0.2841655189194591,0.5
yolov8n.pt,mask_guided,precision,5,0.02729541789733847,-0.07327363062248683,0.12786446641716376,0.4930438035051429,0.8125
yolov8n.pt,mask_guided,recall,5,0.002179281285607515,-0.0817757967562401,0.08613435932745513,0.9460058003573644,1.0
yolov8n.pt,mask_guided,mAP50,5,-0.0031918435505915222,-0.07119567992000038,0.06481199281881735,0.9026073602333821,1.0
yolov8n.pt,mask_guided,mAP50_95,5,-0.019695388334767396,-0.0477669774613038,0.008376200791769015,0.12324126735388564,0.1875
yolov8n.pt,mixup,precision,3,0.004658332857891597,-0.19336160353924256,0.20267826925502577,0.9286106560285914,1.0
yolov8n.pt,mixup,recall,3,-0.0008288477656441436,-0.08021152106319623,0.07855382553190796,0.9682494441872224,1.0
yolov8n.pt,mixup,mAP50,3,-0.01607010048681438,-0.029758852264222577,-0.002381348709406185,0.037030488165676535,0.25
yolov8n.pt,mixup,mAP50_95,3,-0.007588298341158224,-0.035486635228033185,0.020310038545716735,0.36245482093353676,0.5
yolov8n.pt,mosaic,precision,3,0.04481712451472223,-0.10821498255994152,0.19784923158938597,0.3347518283637796,0.5
yolov8n.pt,mosaic,recall,3,0.01499864109369716,-0.09214903987283823,0.12214632206023254,0.6081712650468606,0.75
yolov8n.pt,mosaic,mAP50,3,0.01886736022826896,0.011282303234468116,0.026452417222069802,0.008617487027043572,0.25
yolov8n.pt,mosaic,mAP50_95,3,0.003725805876463891,-0.041300934810501476,0.04875254656342926,0.7558666727403457,0.75
yolov8n.pt,random_erasing,precision,3,-0.003819667657803505,-0.038778716053672585,0.031139380738065575,0.6845522887606854,1.0
yolov8n.pt,random_erasing,recall,3,0.0025214980544077115,-0.06902439004136296,0.07406738615017838,0.8933863229000685,1.0
yolov8n.pt,random_erasing,mAP50,3,-0.013057805671784495,-0.07951935322071871,0.05340374187714972,0.48692372970768555,1.0
yolov8n.pt,random_erasing,mAP50_95,3,-0.0124810298443635,-0.046989476895080345,0.022027417206353345,0.2599415097110669,0.5
