variant,seed,P_default,R_default,F1_default,conf_best,P_best,R_best,F1_best
baseline,0,0.7359555678497957,0.647881288146964,0.6677061147884863,0.16116116116116116,0.692627718728814,0.6920801389773353,0.6815638600255268
baseline,1,0.7459721726960871,0.6707932735639976,0.6942859849969496,0.2502502502502503,0.7459721726960871,0.6707932735639976,0.6942859849969496
baseline,2,0.6582410119966899,0.7275200654521299,0.6826497632086912,0.3083083083083083,0.7315314508591078,0.6921019286949982,0.6944789898762455
mosaic,0,0.6688398739610076,0.7388977757579417,0.6861670042907722,0.33233233233233234,0.6967390202478527,0.7271469998450047,0.6957214826318086
mosaic,1,0.7323114557556475,0.7604449365372741,0.7256922249422344,0.4624624624624625,0.8130268233613336,0.6873733119817739,0.7322639980823572
mosaic,2,0.7074909392438541,0.7031679271180857,0.6884700735608296,0.27927927927927926,0.7404443201994018,0.6994431170100124,0.7033486877560468
mask_guided,0,0.672863527931483,0.7110260082611667,0.6614433491373372,0.5775775775775776,0.8721487036076891,0.6204688944767496,0.696878942908634
mask_guided,1,0.6536038111740082,0.6833286712228959,0.6314848991724008,0.2652652652652653,0.6644383334985098,0.681549385649556,0.6371373732089372
mask_guided,2,0.624111317298799,0.6918018455921928,0.6383214145200181,0.3203203203203203,0.6801259966010625,0.6888392857142857,0.6710139057473085
baseline,3,0.6947255316547563,0.6981016408251728,0.6899764818450586,0.4844844844844845,0.8968334883264277,0.61383754498304,0.6989020819076346
baseline,4,0.6614539790102784,0.5538092936634073,0.5749767924393043,0.12112112112112113,0.5848308024649682,0.6810897925763845,0.6055006038355332
mask_guided,3,0.6775990931702,0.6919434038410558,0.657543666422141,0.22122122122122123,0.6833254647019047,0.7287190727442359,0.675966812977958
mask_guided,4,0.6670713828400899,0.6761732320533895,0.6379946575477536,0.2172172172172172,0.6622367760228469,0.7248291845694874,0.6608353524662357
